first_party,second_party,facts,first_party_winner
Jane Roe,Henry Wade,"In 1970 Jane Roe a fictional name used in court documents to protect the plaintiffs identity filed a lawsuit against Henry Wade the district attorney of Dallas County Texas where she resided challenging a Texas law making abortion illegal except by a doctors orders to save a womans life In her lawsuit Roe alleged that the state laws were unconstitutionally vague and abridged her right of personal privacy protected by the First Fourth Fifth Ninth and Fourteenth Amendments
",True
"Peter Stanley, Sr. ",Illinois,"Joan Stanley had three children with Peter Stanley  The Stanleys never married but lived together off and on for 18 years  When Joan died the State of Illinois took the children  Under Illinois law unwed fathers were presumed unfit parents regardless of their actual fitness and their children became wards of the state  Peter appealed the decision arguing that the Illinois law violated the Equal Protection Clause of the Fourteenth Amendment because unwed mothers were not deprived of their children without a showing that they were actually unfit parents  The Illinois Supreme Court rejected Stanleys Equal Protection claim holding that his actual fitness as a parent was irrelevant because he and the childrens mother were unmarried
",True
John Giglio ,United States,"John Giglio was convicted of passing forged money orders  While his appeal to the US Court of Appeals for the Second Circuit was pending Giglios counsel discovered new evidence The evidence indicated that the prosecution failed to disclose that it promised a key witness immunity from prosecution in exchange for testimony against Giglio  The district court denied Giglios motion for a new trial finding that the error did not affect the verdict  The Court of Appeals affirmed
",True
Sally Reed,Cecil Reed,"The Idaho Probate Code specified that males must be preferred to females in appointing administrators of estates After the death of their adopted son both Sally and Cecil Reed sought to be named the administrator of their sons estate the Reeds were separated According to the Probate Code Cecil was appointed administrator and Sally challenged the law in court
",True
Marvin Miller,California,"Miller after conducting a mass mailing campaign to advertise the sale of adult material was convicted of violating a California statute prohibiting the distribution of obscene material Some unwilling recipients of Millers brochures complained to the police initiating the legal proceedings
",True
"Richard G. Kleindienst, Attorney General of the United States; William P. Rogers, Secretary of State","Ernest E. Mandel, et al.","Ernest E Mandel was a Belgian professional journalist and editorinchief of La Guache a Belgian Left Socialist weekly publication He described himself as a revolutionary Marxist advocating the economic governmental and international doctrines of world Communism Previously the United States twice allowed Mandel to temporarily visit the United States  once as a working journalist in 1962 and once as a lecturer in 1968 Both times and without Mandels knowledge the State Department found him ineligible but the attorney general used his discretionary power under the Immigration and Nationality Act of 1952 to admit Mendel temporarily
The Graduate Student Association at Stanford University invited Mandel to the United States for six days to participate in a conference On September 8 1969 Mandel applied to the American Counsel in Brussels for a nonimmigrant visa to enter the United States Other persons invited Mandel to additional events and Mandel filed a second visa application in October detailing a more extensive itinerary On October 23 the Consul at Brussels informed Mandel that the State Department  headed by Secretary of State William P Rogers  refused his first application The State Department later recommended to Attorney General Richard G Kleindienst that Mandels ineligibility be waived with respect to his October application In a letter dated February 13 1970 however the Immigration and Naturalization Service stated that Mandels 1968 activities far exceeded the scope of that visa and concluded that the Attorney General should not waive Mandels ineligibility Mandels address to the conference was delivered by telephone
Mandel along with various United States citizens who invited Mandel to speaking engagements sought declaratory and injunctive relief A threejudge district court panel held in a 21 decision that citizens of the United States have a First Amendment right to have Mandel enter the country and to hear him speak The court entered a declaratory judgment ruling that the portions of the statute delegating the waiver power to the attorney general were invalid as applied to Mandel it also enjoined Rogers and Kleindienst from denying Mandel admission to the United States
",True
Sarno,Illinois Crime Investigating Commission,"The Illinois Crime Investigating Commission was created to investigate organized crime in Illinois Albert Sarno and Chris Cardi were police officers The Commission wanted the officers to testify pursuant to an investigation of a juice loan or loan shark racket
On February 8 1968 the presiding judge in the Circuit Court of Cook County entered an order requiring the petitioners to appear before the commission under a grant of immunity pursuant to an Illinois statute On February 24 1968 the officers appeared but they refused to answer any questions pleading their right against selfincrimination under the Fifth Amendment
On March 21 1968 the Commission filed a motion in the Circuit court and moved the court to enter an order directing the petitioners to appear before the Commission and answer the questions The officers filed a motion to dismiss or to strike the foregoing motion The officers motion was denied and the court entered an order directing the petitioners to appear before the Commission and to answer the questions The officers refused to obey this subsequent order still pleading the Fifth Amendment The officers were found in contempt of court and sentenced to serve a period of six months in the County Jail The decision of the trial court was appealed and subsequently affirmed by the Illinois Supreme Court The officers appealed to the Supreme Court
",False
Argersinger,Hamlin,"Jon Argersinger was an indigent charged with carrying a concealed weapon a misdemeanor in the State of Florida The charge carried with it a maximum penalty of six months in jail and a 1000 fine During the bench trial in which he was convicted and sentenced to serve ninety days in jail Argersinger was not represented by an attorney
",True
Eisenstadt,Baird,"William Baird gave away Emko Vaginal Foam to a woman following his Boston University lecture on birth control and overpopulation Massachusetts charged Baird with a felony to distribute contraceptives to unmarried men or women Under the law only married couples could obtain contraceptives only registered doctors or pharmacists could provide them Baird was not an authorized distributor of contraceptives
",False
Gooding,Wilson,"A Georgia state court convicted Johnny Wilson of violating a state statute The statute provided that any person who shall without provocation use to or of another and in his presence    opprobrious words or abusive language tending to cause a breach of the peace    shall be guilty of a misdemeanor On appeal Mr Wilson argued that the statute violated the First and Fourteenth Amendments The Georgia Supreme Court rejected the argument Mr Wilson successfully sought habeas corpus relief from a Georgia federal district court The US Court of Appeals for the Fifth Circuit affirmed
",False
