ID,name,href,docket,term,first_party,second_party,majority_vote,minority_vote,decision_type,disposition,issue_area
50606,Roe v. Wade,https://api.oyez.org/cases/1971/70-18,70-18,1971,Jane Roe,Henry Wade,7,2,majority opinion,reversed,
50613,Stanley v. Illinois,https://api.oyez.org/cases/1971/70-5014,70-5014,1971,"Peter Stanley, Sr. ",Illinois,5,2,majority opinion,reversed/remanded,Civil Rights
50623,Giglio v. United States,https://api.oyez.org/cases/1971/70-29,70-29,1971,John Giglio ,United States,7,0,majority opinion,reversed/remanded,Due Process
50632,Reed v. Reed,https://api.oyez.org/cases/1971/70-4,70-4,1971,Sally Reed,Cecil Reed,7,0,majority opinion,reversed/remanded,Civil Rights
50643,Miller v. California,https://api.oyez.org/cases/1971/70-73,70-73,1971,Marvin Miller,California,5,4,majority opinion,vacated/remanded,First Amendment
50644,Kleindienst v. Mandel,https://api.oyez.org/cases/1971/71-16,71-16,1971,"Richard G. Kleindienst, Attorney General of the United States; William P. Rogers, Secretary of State","Ernest E. Mandel, et al.",6,3,majority opinion,reversed,First Amendment
50655,Sarno v. Illinois Crime Investigating Commission,https://api.oyez.org/cases/1971/70-7,70-7,1971,Sarno,Illinois Crime Investigating Commission,5,2,per curiam,,Criminal Procedure
50656,Argersinger v. Hamlin,https://api.oyez.org/cases/1971/70-5015,70-5015,1971,Argersinger,Hamlin,9,0,majority opinion,reversed,Criminal Procedure
50657,Eisenstadt v. Baird,https://api.oyez.org/cases/1971/70-17,70-17,1971,Eisenstadt,Baird,6,1,majority opinion,affirmed,Privacy
50663,Gooding v. Wilson,https://api.oyez.org/cases/1971/70-26,70-26,1971,Gooding,Wilson,5,2,majority opinion,affirmed,First Amendment
50671,Furman v. Georgia,https://api.oyez.org/cases/1971/69-5030,69-5003,1971,Furman,Georgia,5,4,per curiam,reversed/remanded,Criminal Procedure
50683,Moose Lodge No. 107 v. Irvis,https://api.oyez.org/cases/1971/70-75,70-75,1971,Moose Lodge No. 107,Irvis,6,3,majority opinion,reversed/remanded,Civil Rights
50688,Branzburg v. Hayes,https://api.oyez.org/cases/1971/70-85,70-85,1971,Branzburg,Hayes,5,4,majority opinion,affirmed,First Amendment
50689,Kirby v. Illinois,https://api.oyez.org/cases/1971/70-5061,70-5061,1971,Thomas Kirby,Illinois,5,4,plurality opinion,affirmed,Criminal Procedure
50692,Wisconsin v. Yoder,https://api.oyez.org/cases/1971/70-110,70-110,1971,Wisconsin,Yoder,7,0,majority opinion,affirmed,First Amendment
50695,Board of Regents of State Colleges v. Roth,https://api.oyez.org/cases/1971/71-162,71-162,1971,Board of Regents of State Colleges,David Roth,5,3,majority opinion,reversed/remanded,Due Process
50707,United States v. Mississippi Chemical Corporation,https://api.oyez.org/cases/1971/70-52,70-52,1971,United States,"Mississippi Chemical Corporation, Costal Chemical Corp",8,0,majority opinion,reversed/remanded,Federal Taxation
50709,Santobello v. New York,https://api.oyez.org/cases/1971/70-98,70-98,1971,Rudolph Santobello,State of New York,4,3,majority opinion,vacated/remanded,Criminal Procedure
50715,Morrissey v. Brewer,https://api.oyez.org/cases/1971/71-5103,71-5103,1971,Morrissey,Brewer,9,0,majority opinion,reversed/remanded,Due Process
50719,Younger v. Gilmore,https://api.oyez.org/cases/1971/70-9,70-9,1971,"Evelle J. Younger, et al.","Robert O. Gilmore, Jr., et al.",7,0,per curiam,affirmed,Due Process
50721,Gravel v. United States,https://api.oyez.org/cases/1971/71-1017,71-1017,1971,Gravel,United States,5,4,majority opinion,vacated/remanded,First Amendment
50722,Adams v. Williams,https://api.oyez.org/cases/1971/70-283,70-283,1971,Frederick E. Adams,Robert Williams,6,3,majority opinion,reversed,Criminal Procedure
50723,"Lloyd Corporation, Ltd. v. Tanner",https://api.oyez.org/cases/1971/71-492,71-492,1971,Lloyd Corp. Ltd.,Donald Tanner et al.,5,4,majority opinion,reversed/remanded,First Amendment
50724,Police Department of the City of Chicago v. Mosley,https://api.oyez.org/cases/1971/70-87,70-87,1971,Police Department of the City of Chicago,Mosley,9,0,majority opinion,affirmed,First Amendment
50725,Chevron Oil Company v. Huson,https://api.oyez.org/cases/1971/70-11,70-11,1971,Chevron Oil Company,Huson,7,0,majority opinion,affirmed,Economic Activity
50745,Flood v. Kuhn,https://api.oyez.org/cases/1971/71-32,71-32,1971,Curtis C. Flood,"Bowie K. Kuhn, Commissioner of Baseball, et al.",5,3,majority opinion,affirmed,Economic Activity
50742,Gelbard v. United States,https://api.oyez.org/cases/1971/71-110,71-110,1971,David Gelbard,United States,5,4,majority opinion,reversed/remanded,Criminal Procedure
50749,Haines v. Kerner,https://api.oyez.org/cases/1971/70-5025,70-5025,1971,Francis Haines,"Otto J. Kerner, former Governor of Illinois",7,0,per curiam,reversed/remanded,Criminal Procedure
50753,Kastigar v. United States,https://api.oyez.org/cases/1971/70-117,70-117,1971,Kastigar,United States,5,2,majority opinion,affirmed,Criminal Procedure
50754,"D. H. Overmyer Company, Inc., of Ohio v. Frick",https://api.oyez.org/cases/1971/69-5,69-5,1971,"D. H. Overmyer Company, Inc., of Ohio",Frick,7,0,majority opinion,affirmed,Civil Rights
50756,Barker v. Wingo,https://api.oyez.org/cases/1971/71-5255,71-5255,1971,Willie Mae Barker,"John W. Wingo, Warden",9,0,majority opinion,affirmed,Criminal Procedure
50775,Dunn v. Blumstein,https://api.oyez.org/cases/1971/70-13,70-13,1971,Dunn,Blumstein,6,1,majority opinion,affirmed,Civil Rights
50779,United States v. Generes,https://api.oyez.org/cases/1971/70-28,70-28,1971,United States,Allen H. Generes and Edna Generes,6,1,majority opinion,reversed/remanded,Federal Taxation
50783,Sierra Club v. Morton,https://api.oyez.org/cases/1971/70-34,70-34,1971,Sierra Club,"Roger C. B. Morton, Secretary of the Interior of the United States",4,3,majority opinion,affirmed,Economic Activity
50784,United States v. United States District Court for the Eastern District of Michigan,https://api.oyez.org/cases/1971/70-153,70-153,1971,United States,United States District Court for the Eastern District of Michigan,8,0,majority opinion,affirmed,Criminal Procedure
50786,Murel v. Baltimore City Criminal Court,https://api.oyez.org/cases/1971/70-5276,70-5276,1971,"Albert Delanor Murel, et al.","Baltimore City Criminal Court, et al.",8,1,per curiam,,Judicial Power
50790,Perry v. Sindermann,https://api.oyez.org/cases/1971/70-36,70-36,1971,Charles R. Perry et al.,Robert P. Sindermann,5,3,majority opinion,affirmed,Due Process
50805,Schneckloth v. Bustamonte,https://api.oyez.org/cases/1972/71-732,71-732,1972,Merle R. Schneckloth,Robert Clyde Bustamonte,6,3,majority opinion,reversed,Criminal Procedure
50808,"Keyes v. School District No. 1, Denver, Colorado",https://api.oyez.org/cases/1972/71-507,71-507,1972,Keyes,"School District No. 1, Denver, Colorado",7,1,majority opinion,vacated/remanded,Civil Rights
50816,Frontiero v. Richardson,https://api.oyez.org/cases/1972/71-1694,71-1694,1972,Sharron Frontiero,"Elliot Richardson, Secretary of Defense",8,1,plurality opinion,reversed,Civil Rights
50821,Mahan v. Howell,https://api.oyez.org/cases/1972/71-364,71-364,1972,Mahan,Howell,5,3,majority opinion,reversed in-part,Civil Rights
50834,United States v. Ash,https://api.oyez.org/cases/1972/71-1255,71-1255,1972,United States,Charles J. Ash Jr.,6,3,majority opinion,reversed/remanded,Criminal Procedure
50844,Neil v. Biggers,https://api.oyez.org/cases/1972/71-586,71-586,1972,"William S. Neil, Warden of the Tennessee State Penitentiary ",Archie Nathaniel Biggers,8,0,majority opinion,reversed in-part/remanded,Criminal Procedure
50842,In re Griffiths,https://api.oyez.org/cases/1972/71-1336,71-1336,1972,Fre Le Poole Griffiths,State Bar Examining Committee of Connecticut,7,2,majority opinion,reversed/remanded,Civil Rights
50847,Pittsburgh Press Company v. Pittsburgh Commission on Human Relations,https://api.oyez.org/cases/1972/72-419,72-419,1972,Pittsburgh Press Company,Pittsburgh Commission on Human Relations,5,4,majority opinion,affirmed,First Amendment
50877,Gottschalk v. Benson,https://api.oyez.org/cases/1972/71-485,71-485,1972,Gottschalk,Benson,6,0,majority opinion,reversed,Economic Activity
50900,United States v. Russell,https://api.oyez.org/cases/1972/71-1585,71-1585,1972,United States,Russell,5,4,majority opinion,reversed,Criminal Procedure
50931,Gagnon v. Scarpelli,https://api.oyez.org/cases/1972/71-1225,71-1225,1972,John R Gagnon,Gerald Scarpello,8,1,majority opinion,reversed in-part/remanded,Criminal Procedure
50940,California v. LaRue,https://api.oyez.org/cases/1972/71-36,71-36,1972,"California, et al.","Robert LaRue, et al.",6,3,majority opinion,reversed,First Amendment
50941,Committee for Public Education & Religious Liberty v. Nyquist,https://api.oyez.org/cases/1972/72-694,72-694,1972,Committee for Public Education & Religious Liberty,"Ewald B. Nyquist, Commissioner of Education of New York",6,3,majority opinion,reversed,First Amendment
50944,Sugarman v. Dougall,https://api.oyez.org/cases/1972/71-1222,71-1222,1972,"Jule M. Sugarman, Administrator, New York City Human Resources Administration et al.",Patrick McL. Dougall et al.,8,1,majority opinion,affirmed,Civil Rights
50946,Chambers v. Mississippi,https://api.oyez.org/cases/1972/71-5908,71-5908,1972,Leon Chambers,Mississippi,8,1,majority opinion,reversed/remanded,Criminal Procedure
50949,Lemon v. Kurtzman,https://api.oyez.org/cases/1972/71-1470,71-1470,1972,Lemon,Kurtzman,5,3,plurality opinion,affirmed,First Amendment
50954,United States Department of Agriculture v. Moreno,https://api.oyez.org/cases/1972/72-534,72-534,1972,U.S. Department of Agriculture et al.,Jacinta Moreno et al.,7,2,majority opinion,affirmed,Civil Rights
